fighter_id,fighter_name,fighter_record,height,weight,reach,stance,dob,SLpM,Str_Acc,SApM,Str_def,TD_Avg,TD_Acc,TD_Def,Sub_avg
890,Grant Dawson,Record: 23-3-1,"5' 10""",155 lbs.,"72""",Switch,"Feb 20, 1994",3.21,52%,2.13,44%,3.81,39%,57%,1.1
891,Jason Day,Record: 19-12-0,"6' 0""",185 lbs.,"72""",Orthodox,"May 19, 1981",3.61,54%,3.46,47%,1.13,100%,0%,0.0
892,Martin Day,Record: 8-6-0,"5' 10""",145 lbs.,"73""",Orthodox,"Nov 10, 1988",3.97,45%,3.79,53%,0.72,60%,65%,0.5
893,Angel De Anda,Record: 18-6-0,"5' 9""",225 lbs.,--,Orthodox,"May 28, 1985",5.68,46%,6.32,47%,0.00,0%,0%,0.0
894,Yorgan De Castro,Record: 6-3-0,"6' 0""",250 lbs.,"74""",Orthodox,"Dec 19, 1986",2.46,43%,3.85,53%,0.00,0%,77%,0.0
895,Geraldo de Freitas,Record: 12-6-0,"5' 7""",135 lbs.,"72""",Orthodox,"Sep 30, 1991",3.67,52%,2.62,50%,3.00,45%,59%,0.0
896,Philip De Fries,Record: 12-6-0 (1 NC),"6' 5""",250 lbs.,"79""",Orthodox,"Apr 21, 1986",2.30,47%,3.00,37%,3.29,42%,100%,0.6
897,Chris de la Rocha,Record: 5-3-0,"6' 3""",250 lbs.,"80""",Orthodox,"May 15, 1979",4.08,45%,6.37,43%,2.02,30%,33%,1.0
898,Montana De La Rosa,Record: 13-9-1,"5' 7""",125 lbs.,"68""",Orthodox,"Feb 14, 1995",2.90,37%,3.39,45%,1.85,33%,68%,0.8
899,Mark De La Rosa,Record: 11-5-0,"5' 6""",135 lbs.,"65""",Orthodox,"Aug 31, 1994",3.13,35%,5.00,48%,0.54,13%,40%,0.2
900,Mike de la Torre,Record: 14-7-0 (1 NC),"5' 11""",145 lbs.,"71""",Orthodox,"Sep 22, 1986",3.21,39%,4.75,51%,0.36,16%,83%,0.0
901,Rodrigo de Lima,Record: 8-3-1,"5' 7""",155 lbs.,--,Orthodox,"Mar 12, 1991",1.29,33%,5.50,32%,2.66,36%,0%,1.3
902,Edilberto de Oliveira,Record: 29-15-2,"6' 0""",170 lbs.,--,Orthodox,"Nov 22, 1982",4.12,32%,6.79,61%,0.00,0%,0%,0.0
903,Johil de Oliveira,Record: 17-15-1 (1 NC),"5' 6""",170 lbs.,--,Orthodox,"Aug 07, 1969",0.51,34%,0.73,58%,1.10,50%,44%,0.6
904,Jorge de Oliveira,Record: 9-2-0,"5' 8""",155 lbs.,--,Orthodox,"Jan 22, 1980",1.26,31%,4.84,48%,0.00,0%,22%,0.0
905,Jair De Oliveira,Record: 6-1-0,"5' 9""",205 lbs.,"69""",,"May 09, 1996",3.98,60%,3.45,69%,0.00,0%,0%,0.0
906,Isabela de Padua,Record: 5-2-0,"5' 3""",125 lbs.,"64""",Orthodox,"Sep 04, 1991",1.00,35%,2.07,50%,2.00,66%,0%,1.0
907,Gloria de Paula,Record: 6-5-0,"5' 5""",115 lbs.,"67""",Orthodox,"Jun 10, 1995",4.89,53%,3.77,66%,0.74,37%,65%,0.5
908,Germaine de Randamie,Record: 10-5-0,"5' 9""",135 lbs.,"71""",Orthodox,"Apr 24, 1984",2.57,46%,2.00,65%,0.00,0%,65%,0.4
909,Reinier de Ridder,Record: 21-3-0,"6' 4""",185 lbs.,"78""",Southpaw,"Sep 07, 1990",2.20,53%,2.04,48%,2.68,30%,50%,0.7
910,Crezio de Souza,Record: 1-2-0,--,170 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
911,Carl Deaton,Record: 17-7-0 (2 NC),"5' 7""",155 lbs.,"69""",Orthodox,"Nov 24, 1989",1.53,31%,1.85,61%,0.00,0%,50%,0.0
912,Tom DeBlass,Record: 9-2-0,"6' 0""",185 lbs.,--,Orthodox,"May 14, 1982",1.50,35%,4.43,37%,1.00,50%,28%,0.5
913,Issac DeJesus,Record: 12-7-1 (1 NC),--,145 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
914,Rafael  Del Real,Record: 6-20-0,"5' 11""",225 lbs.,--,,--,5.58,40%,0.00,0%,20.93,100%,100%,0.0
915,Shane del Rosario,Record: 11-2-0,"6' 4""",250 lbs.,--,Southpaw,"Sep 23, 1983",3.93,60%,2.97,54%,1.20,40%,16%,2.4
916,Wallen Del Rosario,Record: 8-2-0,"5' 4""",125 lbs.,"67""",Orthodox,"Mar 18, 1993",1.40,32%,4.73,40%,1.00,16%,100%,0.0
917,Yadier del Valle,Record: 10-1-0,"5' 9""",145 lbs.,"69""",Southpaw,"Jul 29, 1996",4.05,60%,2.16,55%,1.23,42%,58%,2.0
918,Jose Delano,Record: 16-3-0,"5' 8""",145 lbs.,"70""",Orthodox,"Sep 11, 1996",9.73,65%,2.53,72%,0.00,0%,60%,0.0
919,Humberto DeLeon,Record: 7-7-0,--,135 lbs.,--,,"Nov 12, 1989",0.00,0%,0.00,0%,0.00,0%,0%,0.0
920,Rolando Delgado,Record: 11-6-1,"6' 3""",155 lbs.,"77""",Orthodox,"Nov 22, 1981",1.56,40%,1.83,62%,1.17,22%,0%,3.5
921,Israel Delgado,Record: 0-2-0,"5' 10""",155 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
922,Jose Delgado,Record: 10-2-0,"5' 11""",145 lbs.,"74""",Switch,"Apr 21, 1998",8.22,54%,5.44,47%,1.81,42%,60%,0.0
923,Ante Delija,Record: 26-8-0,"6' 3""",239 lbs.,"78""",Orthodox,"Aug 07, 1990",4.28,38%,3.95,52%,0.00,0%,75%,0.0
924,Jack Della Maddalena,Record: 18-3-0,"5' 11""",170 lbs.,"73""",Switch,"Sep 10, 1996",5.57,51%,3.84,63%,0.13,10%,64%,0.1
925,Roland Delorme,Record: 9-5-0 (1 NC),"5' 9""",135 lbs.,"71""",Orthodox,"Dec 18, 1983",2.28,44%,4.32,40%,2.51,34%,42%,1.6
926,Jon Delos Reyes,Record: 8-5-0,"5' 6""",125 lbs.,"67""",Orthodox,"Aug 19, 1987",2.99,38%,4.14,51%,3.20,83%,55%,1.9
927,Jason DeLucia,Record: 33-21-1,"5' 11""",190 lbs.,--,Southpaw,"Jul 24, 1969",0.00,0%,0.00,0%,0.00,0%,0%,0.0
928,Justin DeMoney,Record: 15-7-1,--,170 lbs.,--,,"Jul 01, 1985",0.00,0%,0.00,0%,0.00,0%,0%,0.0
929,Vanessa Demopoulos,Record: 11-8-0,"5' 2""",125 lbs.,"59""",Orthodox,"Sep 22, 1988",3.37,39%,5.39,41%,0.32,9%,26%,0.4
930,Chris Dempsey,Record: 11-5-0,"5' 10""",185 lbs.,"72""",Orthodox,"Sep 08, 1987",2.25,32%,2.82,65%,2.64,23%,16%,0.0
931,Nick Denis,Record: 11-3-0,"5' 7""",135 lbs.,--,Orthodox,"Oct 11, 1983",6.54,53%,5.42,36%,2.80,100%,80%,0.0
932,Thomas Denny,Record: 27-21-1,"5' 10""",170 lbs.,--,Orthodox,"Apr 19, 1971",2.36,45%,4.69,40%,1.48,17%,42%,1.5
933,Robert Densley,Record: 9-10-0,"5' 9""",155 lbs.,--,,--,1.81,47%,0.40,60%,0.00,0%,50%,0.0
934,Jason Dent,Record: 22-13-0,"5' 10""",155 lbs.,"71""",Orthodox,"Jun 12, 1980",2.01,39%,3.70,62%,0.00,0%,26%,1.4
935,Mackenzie Dern,Record: 16-5-0,"5' 4""",115 lbs.,"63""",Orthodox,"Mar 24, 1993",3.47,41%,3.93,51%,0.93,18%,37%,1.1
936,Booker DeRousse,Record: 6-5-0,"6' 2""",205 lbs.,--,,"Mar 23, 1981",0.00,0%,0.00,0%,0.00,0%,0%,0.0
937,Tony DeSouza,Record: 11-4-0,"6' 0""",170 lbs.,"70""",Southpaw,"Jul 26, 1974",1.12,52%,1.57,41%,2.25,42%,40%,1.5
938,Robelis Despaigne,Record: 5-2-0,"6' 7""",265 lbs.,"84""",Orthodox,"Sep 09, 1988",2.11,59%,2.54,46%,0.00,0%,50%,0.0
939,Cory Devela,Record: 16-7-0,"5' 0""",185 lbs.,--,Orthodox,"Aug 05, 1984",4.07,41%,4.00,47%,1.07,12%,62%,0.0
940,John Devine,Record: 6-4-0,--,--,--,,"Jan 17, 1978",1.52,18%,2.28,57%,0.00,0%,0%,0.0
941,Edwin DeWees,Record: 38-17-0 (1 NC),"6' 1""",185 lbs.,--,Orthodox,"Aug 07, 1982",1.53,33%,6.19,39%,2.18,66%,0%,3.3
942,Alessio Di Chirico,Record: 13-7-0,"6' 0""",185 lbs.,"74""",Orthodox,"Dec 12, 1989",3.32,39%,3.44,61%,1.46,39%,83%,0.0
943,Micol Di Segni,Record: 7-3-0,"5' 3""",115 lbs.,"60""",Orthodox,"Dec 29, 1987",7.47,40%,5.87,33%,0.00,0%,37%,0.0
944,Cyrille Diabate,Record: 19-10-1,"6' 6""",205 lbs.,"81""",Southpaw,"Oct 06, 1973",4.06,71%,1.78,60%,1.17,83%,53%,0.2
945,Thomas Diagne,Record: 6-6-1,"6' 1""",154 lbs.,--,,"Sep 03, 1983",4.53,48%,4.53,63%,2.00,100%,66%,0.0
946,Marc Diakiese,Record: 17-7-0,"5' 10""",155 lbs.,"73""",Orthodox,"Mar 16, 1993",2.54,40%,2.64,52%,3.29,43%,66%,0.0
947,Tyler Diamond,Record: 9-1-0,"5' 7""",145 lbs.,"69""",Orthodox,"Mar 18, 1991",3.40,47%,2.53,44%,3.00,75%,70%,0.0
948,Blood Diamond,Record: 3-3-0,"5' 11""",170 lbs.,"76""",Switch,"Jul 10, 1988",3.12,55%,2.17,48%,0.00,0%,73%,0.0
949,Eldo Xavier Dias,Record: 0-1-0,"5' 11""",180 lbs.,--,,"Jul 16, 1964",0.00,0%,0.00,0%,0.00,0%,0%,0.0
950,Rafael Dias,Record: 17-12-2,"5' 9""",145 lbs.,--,Orthodox,"Oct 20, 1979",1.13,27%,2.19,60%,3.17,47%,100%,1.2
951,Hacran Dias,Record: 23-6-1,"5' 8""",155 lbs.,"69""",Orthodox,"Jun 16, 1984",2.08,41%,3.31,55%,2.50,39%,76%,0.5
952,Victor Dias,Record: 11-3-0,"5' 6""",125 lbs.,"69""",Orthodox,"Dec 26, 1990",2.87,44%,5.80,55%,5.00,41%,0%,0.0
953,Luis Felipe Dias,Record: 17-5-0,"5' 10""",185 lbs.,"74""",,"Jan 17, 1995",1.77,38%,2.70,52%,6.24,57%,66%,1.6
954,Magno Dias,Record: 6-2-0,"5' 5""",135 lbs.,"67""",,"Nov 30, 1995",2.44,45%,7.32,50%,1.41,33%,0%,1.4
955,Nick Diaz,Record: 26-10-0 (2 NC),"6' 1""",170 lbs.,"76""",Southpaw,"Aug 02, 1983",5.71,42%,3.84,59%,1.28,32%,60%,1.0
956,Nate Diaz,Record: 22-13-0,"6' 0""",170 lbs.,"76""",Southpaw,"Apr 16, 1985",4.57,45%,3.77,52%,1.05,30%,41%,1.3
957,Michael Diaz,Record: 1-2-0,--,260 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
958,Ryan Diaz,Record: 13-14-0,--,145 lbs.,--,,"Feb 06, 1979",0.00,0%,0.00,0%,0.00,0%,0%,0.0
959,Adrian Diaz,Record: 11-4-1,"5' 10""",145 lbs.,--,Southpaw,"Apr 26, 1988",0.48,42%,3.84,51%,2.40,50%,0%,0.0
960,Ozzy Diaz,Record: 10-3-0,"6' 4""",185 lbs.,"79""",Orthodox,"Nov 22, 1990",6.44,50%,7.23,59%,0.00,0%,50%,0.0
961,Juan Diaz,Record: 15-1-1,"5' 8""",135 lbs.,"69""",Orthodox,"Jun 03, 1998",5.82,39%,5.02,60%,3.01,33%,0%,0.0
962,Mark Dickman,Record: 11-3-0,"5' 9""",145 lbs.,--,,"Jul 19, 1984",0.00,0%,0.00,0%,0.00,0%,0%,0.0
963,Josh Diekmann,Record: 15-8-0 (1 NC),"5' 4""",246 lbs.,--,,"Oct 09, 1976",0.28,5%,8.17,25%,0.00,0%,0%,0.0
964,Kyle Dietz,Record: 5-2-0,"5' 8""",135 lbs.,--,Orthodox,"Apr 29, 1986",1.82,45%,2.08,62%,0.00,0%,0%,0.0
965,Seth Dikun,Record: 9-8-0,"5' 10""",135 lbs.,"69""",Orthodox,"Aug 05, 1980",1.45,26%,2.18,55%,0.00,0%,45%,0.9
966,TJ Dillashaw,Record: 18-5-0,"5' 6""",135 lbs.,"67""",Orthodox,"Feb 07, 1986",5.09,41%,3.47,62%,1.56,30%,77%,0.8
967,Ralph Dillon,Record: 0-2-1,"6' 2""",205 lbs.,--,Orthodox,--,0.34,14%,0.69,60%,0.00,0%,0%,0.0
968,Drew Dimanlig,Record: 3-4-0,--,185 lbs.,--,,--,3.70,73%,3.17,20%,0.00,0%,0%,0.0
969,Ding Meng,Record: 34-9-0,"6' 2""",170 lbs.,"73""",Orthodox,"Sep 27, 1994",3.40,50%,3.87,48%,1.00,50%,0%,0.0
970,Rodolfo Marques Diniz,Record: 23-9-1,"5' 6""",135 lbs.,--,,"Jan 23, 1984",1.08,32%,2.36,33%,0.00,0%,50%,1.8
971,Jhonata Diniz,Record: 9-2-0,"6' 4""",254 lbs.,"79""",Orthodox,"Jun 23, 1991",3.89,56%,3.62,56%,0.00,0%,70%,0.0
972,Helio Dipp,Record: 6-3-0,"6' 5""",185 lbs.,--,Orthodox,"Dec 12, 1979",0.60,25%,1.80,62%,0.00,0%,50%,0.0
973,Rico DiSciullo,Record: 9-2-0 (1 NC),"5' 8""",135 lbs.,--,Orthodox,"Oct 12, 1986",1.71,33%,4.41,56%,0.00,0%,0%,0.0
974,Matt Dixon,Record: 9-1-0,"5' 10""",170 lbs.,"75""",Switch,"Oct 09, 1995",1.97,43%,4.56,37%,3.06,30%,0%,0.0
975,John Dixson,Record: 15-22-0,"6' 0""",275 lbs.,--,Orthodox,"Oct 15, 1961",0.00,0%,0.00,0%,0.00,0%,0%,0.0
976,Anthony Do,Record: 4-2-0,"5' 4""",125 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
977,Russell Doane,Record: 15-8-0,"5' 7""",135 lbs.,"70""",Orthodox,"Aug 13, 1986",1.75,40%,1.68,53%,2.11,45%,52%,0.8
978,Drew Dober,Record: 28-15-0 (1 NC),"5' 8""",155 lbs.,"70""",Southpaw,"Oct 19, 1988",4.52,41%,4.34,52%,0.63,16%,58%,0.1
979,Shana Dobson,Record: 4-5-0,"5' 6""",125 lbs.,"69""",Orthodox,"Mar 30, 1989",3.34,37%,5.20,50%,0.84,50%,14%,0.0
980,AJ Dobson,Record: 7-3-0 (1 NC),"6' 1""",185 lbs.,"76""",Orthodox,"Jan 18, 1992",4.29,46%,5.31,46%,1.67,75%,65%,0.3
981,David Dodd,Record: 4-7-0,"6' 2""",200 lbs.,--,Orthodox,"Sep 22, 1973",0.00,0%,0.00,0%,0.00,0%,0%,0.0
982,John Dodson,Record: 22-12-0,"5' 3""",135 lbs.,"66""",Orthodox,"Sep 26, 1984",3.20,40%,3.58,61%,0.71,28%,82%,0.0
983,Joe Doerksen,Record: 51-16-0,"6' 0""",185 lbs.,"75""",Orthodox,"Oct 09, 1977",1.43,42%,2.79,50%,2.02,33%,33%,2.3
984,Mike Dolce,Record: 5-10-0,"5' 11""",185 lbs.,--,,"Apr 15, 1976",0.00,0%,0.00,0%,0.00,0%,0%,0.0
985,Roman Dolidze,Record: 15-4-0,"6' 2""",185 lbs.,"76""",Orthodox,"Jul 15, 1988",3.41,41%,3.72,48%,0.99,39%,26%,0.8
986,Cameron Dollar,Record: 11-5-0,"5' 11""",155 lbs.,--,Orthodox,"May 12, 1987",5.04,38%,2.94,61%,0.00,0%,0%,0.0
987,CB Dollaway,Record: 17-9-0,"6' 2""",185 lbs.,"76""",Orthodox,"Aug 10, 1983",2.65,47%,2.58,54%,3.55,54%,62%,1.2
988,Dennis Dombrow,Record: 7-5-0 (1 NC),--,145 lbs.,--,,"Mar 17, 1986",0.00,0%,0.00,0%,0.00,0%,0%,0.0
989,OJ Dominguez,Record: 0-1-0,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
990,John Donaldson,Record: 2-2-0,"5' 8""",145 lbs.,--,,"Jul 09, 1992",1.21,23%,4.22,51%,0.00,0%,0%,0.0
991,Daniil Donchenko,Record: 14-2-0,"5' 11""",170 lbs.,"71""",Orthodox,"Aug 04, 2001",7.15,60%,2.57,72%,0.77,33%,75%,0.0
992,Dong Huaxiang,Record: 12-3-0,"5' 3""",115 lbs.,"61""",Switch,"Aug 21, 1998",3.50,59%,3.13,65%,4.00,44%,100%,0.0
993,Cody Donovan,Record: 8-5-0,"6' 3""",205 lbs.,"74""",Orthodox,"Feb 20, 1981",5.61,59%,5.44,45%,1.67,28%,0%,1.7
994,Houston Dorr,Record: 1-2-0,"6' 1""",210 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
995,Rafael Dos Anjos,Record: 32-17-0,"5' 8""",170 lbs.,"70""",Southpaw,"Oct 26, 1984",3.48,47%,3.23,60%,1.95,35%,54%,0.6
996,Junior Dos Santos,Record: 21-9-0,"6' 4""",238 lbs.,"77""",Orthodox,"Jan 30, 1984",4.49,47%,3.33,56%,0.30,50%,81%,0.1
997,Geronimo dos Santos,Record: 39-19-0,"6' 3""",264 lbs.,--,Orthodox,"Aug 17, 1980",1.09,33%,8.73,41%,0.00,0%,33%,0.0
998,Antonio Dos Santos,Record: 6-4-0,"5' 10""",185 lbs.,--,Orthodox,"Jul 21, 1988",5.40,51%,3.94,43%,0.00,0%,100%,0.0
999,Anderson Dos Santos,Record: 21-9-0,"5' 5""",135 lbs.,"70""",Orthodox,"Jul 24, 1985",2.70,25%,5.37,49%,0.98,14%,66%,0.7
1000,Acacio Dos Santos,Record: 14-5-0,"6' 4""",205 lbs.,"79""",Orthodox,"Sep 29, 1991",1.27,41%,1.40,43%,0.00,0%,31%,0.0
1001,Rayanne dos Santos,Record: 14-9-0,"5' 2""",115 lbs.,"62""",Orthodox,"Jun 08, 1995",4.57,40%,6.47,59%,0.50,14%,80%,0.0
1002,Felipe dos Santos,Record: 8-3-0 (1 NC),"5' 7""",125 lbs.,"70""",Orthodox,"Sep 11, 2000",3.75,39%,3.80,41%,0.00,0%,20%,0.5
1003,Tiago dos Santos e Silva,Record: 20-7-2 (1 NC),"5' 9""",145 lbs.,"70""",Orthodox,"Apr 12, 1987",3.69,35%,4.23,59%,0.63,11%,33%,0.3
1004,Oleksandr Doskalchuk,Record: 10-2-0,"5' 6""",125 lbs.,--,Southpaw,"Mar 13, 1990",0.00,0%,0.00,0%,0.00,0%,0%,0.0
1005,David Douglas,Record: 9-7-0,"5' 11""",155 lbs.,--,,"Aug 16, 1981",0.00,0%,0.00,0%,0.00,0%,0%,0.0
1006,Damion Douglas,Record: 4-1-0,--,170 lbs.,--,,"Aug 16, 1982",0.00,0%,0.00,0%,0.00,0%,0%,0.0
1007,Lerryan Douglas,Record: 13-5-0,"5' 9""",145 lbs.,"72""",Orthodox,"Apr 27, 1995",11.67,87%,5.00,66%,0.00,0%,0%,0.0
1008,Cedric Doumbe,Record: 2-0-0,"5' 10""",170 lbs.,--,,"Aug 13, 1992",0.00,0%,0.00,0%,0.00,0%,0%,0.0
1009,John Dowdy,Record: 0-1-0,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
1010,Jordan Dowdy,Record: 4-3-0,--,170 lbs.,--,,--,2.11,44%,2.63,50%,0.00,0%,0%,0.0
1011,Danny Downes,Record: 8-3-0,"6' 0""",155 lbs.,"72""",Orthodox,"Apr 08, 1986",1.66,34%,3.53,37%,0.00,0%,37%,0.5
1012,Derek Downey,Record: 11-4-0,"6' 1""",185 lbs.,--,Orthodox,"Apr 27, 1980",0.32,100%,3.36,12%,2.40,16%,0%,0.0
1013,John Doyle,Record: 11-22-0 (1 NC),"5' 11""",205 lbs.,--,Orthodox,"Nov 21, 1976",3.50,44%,10.51,27%,0.00,0%,0%,0.0
1014,Edson Drago,Record: 11-7-0,"6' 4""",220 lbs.,--,Orthodox,"Aug 29, 1977",1.16,40%,2.39,36%,0.00,0%,55%,0.0
1015,Jimmy Drago,Record: 7-3-0 (1 NC),"5' 10""",170 lbs.,"71""",Orthodox,"Feb 18, 1995",3.80,29%,5.60,65%,1.00,50%,0%,0.0
1016,Anthony Drilich,Record: 8-2-0,"5' 5""",125 lbs.,"65""",Southpaw,"Mar 17, 1994",5.80,31%,5.07,40%,0.00,0%,55%,0.0
1017,Kyle Driscoll,Record: 12-3-0,"5' 11""",145 lbs.,"74""",Orthodox,"Sep 23, 1994",2.73,32%,2.60,58%,2.00,18%,0%,0.0
1018,Chris Drumm,Record: 0-1-0 (1 NC),"5' 8""",145 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
1019,Tomasz Drwal,Record: 21-5-1,"6' 1""",205 lbs.,"76""",Orthodox,"Jan 22, 1982",3.29,38%,2.26,57%,3.55,60%,82%,0.4
1020,Robert Drysdale,Record: 7-0-0 (1 NC),"6' 3""",205 lbs.,--,Orthodox,"Oct 05, 1981",0.00,0%,0.00,0%,7.32,100%,0%,21.9
1021,Dricus Du Plessis,Record: 23-3-0,"6' 1""",185 lbs.,"76""",Switch,"Jan 14, 1994",5.18,48%,4.33,52%,2.22,51%,34%,0.7
1022,Hugo Duarte,Record: 6-3-0,"6' 0""",240 lbs.,--,Orthodox,"Aug 09, 1968",0.00,0%,0.00,0%,0.00,0%,0%,0.0
1023,Antonio Duarte,Record: 19-7-0,"5' 7""",135 lbs.,--,,"Mar 10, 1987",4.55,40%,4.18,57%,0.00,0%,60%,0.0
1024,Joe Duarte,Record: 10-4-0,--,155 lbs.,--,,"Jan 25, 1977",2.27,38%,4.00,53%,3.00,50%,69%,1.0
1025,Yuneisy Duben,Record: 6-1-0 (1 NC),"5' 4""",125 lbs.,"65""",Orthodox,"Jul 08, 1996",13.53,48%,10.75,53%,0.00,0%,0%,0.0
1026,Matthieu Duclos,Record: 6-3-0,"6' 3""",185 lbs.,"77""",Orthodox,"Apr 04, 1995",3.93,37%,6.81,46%,0.00,0%,100%,0.0
1027,Emily Ducote,Record: 13-9-0,"5' 2""",115 lbs.,"63""",Orthodox,"Jan 01, 1994",7.45,52%,7.84,57%,0.20,14%,94%,0.0
1028,Viktoriia Dudakova,Record: 8-2-0,"5' 5""",115 lbs.,"67""",Orthodox,"Jan 26, 1999",2.87,47%,3.40,50%,2.73,35%,33%,0.0
1029,Milana Dudieva,Record: 11-6-0,"5' 3""",135 lbs.,--,Orthodox,"Aug 04, 1989",0.87,31%,3.43,58%,2.34,45%,0%,0.0
1030,Adin Duenas,Record: 6-1-0,"5' 6""",145 lbs.,--,,"Jul 02, 1988",0.00,0%,0.00,0%,0.00,0%,0%,0.0
1031,Todd Duffee,Record: 9-3-0 (1 NC),"6' 3""",260 lbs.,"78""",Orthodox,"Dec 06, 1985",5.93,37%,2.87,56%,0.72,25%,90%,0.0
1032,Joe Duffy,Record: 16-5-0,"5' 10""",155 lbs.,"73""",Orthodox,"Feb 18, 1988",2.68,34%,3.78,54%,0.96,66%,64%,0.7
1033,Jack Duffy,Record: 7-1-0,"5' 7""",125 lbs.,"69""",Switch,"Oct 02, 1995",5.07,69%,2.13,52%,0.00,0%,62%,0.0
1034,Alexis Dufresne,Record: 6-3-0,"5' 9""",135 lbs.,--,Orthodox,"Aug 31, 1990",1.33,27%,3.33,60%,1.50,50%,50%,0.0
1035,Jessamyn Duke,Record: 3-5-0 (1 NC),"5' 11""",135 lbs.,"73""",Orthodox,"Jun 24, 1986",4.83,53%,4.43,57%,1.27,36%,50%,1.9
1036,Islam Dulatov,Record: 12-1-0,"6' 3""",170 lbs.,"75""",Orthodox,"Aug 02, 1998",8.78,54%,4.24,50%,2.20,100%,100%,0.0
1037,Isaac Dulgarian,Record: 7-2-0,"5' 7""",145 lbs.,"71""",Orthodox,"Jul 04, 1996",2.99,63%,1.65,40%,4.57,50%,0%,1.8
1038,Kelly Dullanty,Record: 4-2-0,"5' 8""",155 lbs.,--,Orthodox,"Nov 04, 1977",0.00,0%,0.67,75%,0.00,0%,66%,0.0
1039,Sedriques Dumas,Record: 10-4-0 (1 NC),"6' 2""",185 lbs.,"79""",Orthodox,"Aug 06, 1995",2.00,44%,2.41,55%,1.34,31%,33%,0.2
1040,Norma Dumont,Record: 13-2-0,"5' 7""",135 lbs.,"67""",Orthodox,"Oct 01, 1990",3.89,50%,2.12,65%,1.56,56%,68%,0.0
1041,Chris Duncan,Record: 15-2-0,"5' 10""",155 lbs.,"71""",Orthodox,"May 10, 1993",5.02,46%,4.82,51%,3.27,42%,50%,0.7
1042,Christian Leroy Duncan,Record: 13-2-0,"6' 2""",185 lbs.,"79""",Switch,"Jul 24, 1995",4.60,58%,2.97,51%,0.40,20%,69%,0.0
1043,Evan Dunham,Record: 18-9-1,"5' 10""",155 lbs.,"70""",Southpaw,"Dec 18, 1981",5.33,39%,3.54,61%,1.82,33%,79%,1.0
1044,Alex Dunworth,Record: 2-2-0 (1 NC),"5' 8""",155 lbs.,--,,--,1.94,31%,8.71,35%,0.00,0%,50%,0.0
1045,Tom Duquesnoy,Record: 16-2-0 (1 NC),"5' 7""",135 lbs.,"68""",Orthodox,"Jun 21, 1993",3.83,45%,5.30,62%,0.42,25%,46%,0.0
1046,Albert Duraev,Record: 16-5-0,"5' 11""",185 lbs.,"75""",Orthodox,"Jan 05, 1989",2.99,40%,3.01,59%,1.97,29%,66%,0.6
1047,Reuben Duran,Record: 11-7-1,"5' 7""",135 lbs.,"71""",Orthodox,"Jul 02, 1983",3.19,49%,2.61,50%,0.98,23%,25%,0.7
1048,Cody Durden,Record: 17-9-1,"5' 7""",125 lbs.,"67""",Southpaw,"Mar 29, 1991",3.66,44%,4.47,50%,3.99,47%,75%,0.7
1049,Luiz Dutra,Record: 13-6-1,"5' 11""",170 lbs.,--,Orthodox,"May 06, 1982",3.92,50%,4.80,41%,0.00,0%,100%,0.0
1050,Rilley Dutro,Record: 11-4-0,"5' 8""",125 lbs.,--,Orthodox,"Sep 03, 1987",4.74,54%,5.95,33%,0.00,0%,83%,0.0
1051,Bill Duvall,Record: 1-2-0,"6' 2""",185 lbs.,--,Southpaw,--,0.00,0%,2.40,40%,0.00,0%,0%,0.0
1052,Merab Dvalishvili,Record: 21-5-0,"5' 6""",135 lbs.,"68""",Orthodox,"Jan 10, 1991",4.42,41%,2.80,54%,5.97,35%,76%,0.3
1053,David Dvorak,Record: 20-6-0,"5' 5""",125 lbs.,"68""",Orthodox,"Jun 05, 1992",3.48,43%,3.29,59%,0.58,30%,70%,0.2
1054,Matt Dwyer,Record: 9-4-0,"6' 4""",170 lbs.,"76""",Orthodox,"Dec 17, 1989",2.57,34%,3.24,54%,0.44,10%,60%,0.0
1055,Rolando Dy,Record: 9-7-1 (1 NC),"5' 8""",145 lbs.,"69""",Orthodox,"Aug 11, 1990",3.04,37%,4.47,52%,0.30,20%,68%,0.0
1056,Shanelle Dyer,Record: 6-1-0,"5' 6""",115 lbs.,"65""",Orthodox,"Apr 23, 2001",7.67,41%,7.80,44%,0.00,0%,0%,0.0
1057,Ben Earwood,Record: 12-3-0,"5' 8""",170 lbs.,--,Orthodox,--,0.50,55%,0.20,33%,3.00,100%,0%,0.0
1058,Cody East,Record: 12-3-0,"6' 3""",245 lbs.,--,Orthodox,"Jun 29, 1988",4.15,43%,7.32,40%,3.97,100%,16%,0.0
1059,Marvin Eastman,Record: 18-15-1,"5' 9""",185 lbs.,"73""",Orthodox,"Jun 08, 1971",2.21,35%,3.92,42%,1.38,33%,81%,0.0
